PDB-ID,EMD-ID,resolution,contour
6LXD,30005,3.9,0.02
7C7A,30297,2.8,0.006
7DMQ,30767,3.06,0.0038
5A8L,3099,3.8,0.0008
7EGQ,31138,3.35,0.25
7ELE,31182,4.9,0.006
7ELH,31183,3.3,0.006
7EZ0,31385,3.14,0.007
7EZ2,31386,3.05,0.023
7VG2,31963,3.1,0.0436
7XD3,33134,4.05,0.017
7XD4,33135,3.89,0.017
7XD5,33136,2.84,0.01
7XD6,33137,2.84,0.01
7XD7,33138,3.02,0.01
5G2Y,3332,4.5,0.04
7XSK,33425,3.53,0.27
7XSL,33426,3.84,0.22
7XSM,33427,4.01,0.22
7XSN,33428,3.01,0.27
7YC8,33736,4.14,0.1
7YCG,33738,3.18,0.1
7YCH,33739,3.09,0.1
7YCI,33740,2.98,0.1
7YG8,33811,2.97,0.18
7YG9,33812,2.68,0.01
7YGA,33813,2.35,0.3
7YGB,33814,2.62,0.25
7YGC,33815,2.65,0.14
7YGD,33816,3.41,0.2
8HD6,34670,3.73,0.006
8HD7,34671,3.52,0.006
8I7N,35223,2.98,0.02
5MMM,3533,3.4,0.06
5MQF,3545,5.9,0.016
5MRF,3553,4.97,0.0123
5MYJ,3581,5.6,0.035
6FXC,3637,6.76,0.023
5ODV,3785,4,0.021
8SA2,40262,3.1,0.361
8SA3,40263,3,0.363
8SA4,40264,3.1,0.377
8SA5,40265,3.5,0.38
8SA6,40266,5.3,0.169
5LQW,4099,5.8,0.11
5M1J,4140,3.3,3.5
6G4W,4349,4.5,0.04
6ND4,441,4.3,0.0203
6I7O,4427,5.3,0.013
6O1O,454,3.8,0.9
6RJA,4901,3,0.0625
6RM3,4935,3.4,0.0199
4V68,5030,6.4,3.5
4V69,5036,6.7,90
4V6W,5591,6,0.49
4V6X,5592,5,0.7
4V7B,5775,6.8,3
3JD5,5941,7,0.00017
3J6X,5942,6.1,0.815
3J77,5976,6.2,0.12
3J78,5977,6.3,0.12
6OM7,597,3.7,0.022
5AA0,6397,5,0.0392
3JBO,6452,5.8,0.02
3JBP,6454,6.7,0.03
3JBN,6456,4.7,0.03
5JUS,6645,4.2,0.015
5WYK,6696,4.5,0.09
5Z57,6890,6.5,0.0323
5ZAL,6905,4.7,0.04
6J6Q,692,3.7,0.0116
5ZWN,6973,3.4,0.045
6AZ3,7025,2.5,0.065
6CB1,7445,4.6,0.018
6D6V,7821,4.8,0.055
6D90,7834,3.2,0.025
5Y36,8236,5.2,0.0316
5KPV,8280,4.1,0.1
5T2A,8343,2.9,0.01
5T2C,8345,3.6,0.03
5TC1,8397,3.6,3
5TZS,8473,5.1,0.018
5VT0,8732,3.78,0.014
6NY1,8994,4.2,0.3
6E9F,9014,3.3,0.2
6MCB,9066,3.4,0.28
6MCB,9066,3.4,0.28
6ME0,9105,3.6,0.023
6NM9,9398,3.38,0.0177
6LQV,955,4.8,0.022
6AH0,9621,5.7,0.015
6AH3,9622,3.48,0.025
6AHU,9627,3.66,0.0256
6K0B,9900,4.3,0.02
8TJX,41313,2.44,0.5
9LEC,63022,2.51,0.07
8XTS,38649,2.54,0.025
9C6I,45247,2.56,0.6
9LE5,63015,2.58,0.1
9X6B,66618,2.86,0.055
9ZGP,74198,2.86,0.03
9ELY,48162,2.9,9.0
9LHK,63100,2.93,0.09
8T5O,41059,2.98,0.291
9E74,47657,3.0,0.05
9KGG,62318,3.12,0.05
9K9G,62189,3.38,0.08
9E75,47658,3.5,0.05
9QTJ,53353,3.79,0.0847
9Z6I,73840,4.32,13.0
9R7Q,53787,4.41,0.0655
8TVZ,41656,5.94,0.0846
9R7W,53795,6.06,0.14
8BU8,16245,6.56,0.0104
